"CODIGOCONTRATO","NOMBRE_TIPOREGISTRO","CODIGO_ESPECIALIDAD","NOMBRE_ESPECIALIDAD","CODIGO_CATEGORIA","NOMBRE_CATEGORIA"
312192,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","B","B"
312192,"Contratista O. Menores","4 O.M.","Hormigón estructural y albañilerías","B","B"
327749,"Sin Registro","0","Sin Especialidad","no existe","no existe"
321780,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
321780,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A a S","A Superior"
321780,"Contratista O. Menores","8 O.M.","Instalación de Agua Potable y Alcantarillado","A a S","A Superior"
326008,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A","A"
277880,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
277880,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
326599,"Sin Registro","0","Sin Especialidad","no existe","no existe"
326828,"Sin Registro","0","Sin Especialidad","no existe","no existe"
326825,"Sin Registro","0","Sin Especialidad","no existe","no existe"
326834,"Sin Registro","0","Sin Especialidad","no existe","no existe"
326840,"Sin Registro","0","Sin Especialidad","no existe","no existe"
320610,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
320610,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
322974,"Consultor","4.3.","Obras Hidraulicas y de Riego","1a S","Primera Superior"
322974,"Consultor","9.1.","Estudios de Impacto Ambiental (E.I.A.)","3era","Tercera"
327439,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
327199,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
327374,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
327333,"Consultor","3.3.","Geomensura y Topografia","1a S","Primera Superior"
327642,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
327642,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
321263,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
334996,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","B","B"
334996,"Contratista O. Menores","8 O.M.","Instalación de Agua Potable y Alcantarillado","A","A"
310510,"Sin Registro","0","Sin Especialidad","no existe","no existe"
328914,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
325463,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A a S","A Superior"
322988,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
331651,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
337063,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
337063,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","2da","Segunda"
337063,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
334600,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
337136,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
329700,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A","A"
337185,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
328657,"Sin Registro","0","Sin Especialidad","no existe","no existe"
325419,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","B","B"
337077,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A","A"
341967,"Consultor","3.7.","Estudios Hidrologicos, Hidrogeologicos y Meteorologicos","3era","Tercera"
331565,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
337204,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
317836,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
317836,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
337204,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
337207,"Contratista O. Mayores","13 O.C.","Obras de Defensas Fluviales","3era A","Tercera A"
343691,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","A a S","A Superior"
345132,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","A a S","A Superior"
348405,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
347132,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A","A"
347130,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
347132,"Contratista O. Menores","8 O.M.","Instalación de Agua Potable y Alcantarillado","A","A"
341061,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
340714,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
341061,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
346945,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","B","B"
352014,"Sin Registro","0","Sin Especialidad","no existe","no existe"
354846,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","2da","Segunda"
354846,"Contratista O. Mayores","14 O.C.","Revestimiento de Canales","2da","Segunda"
349642,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
349642,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
354970,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A a S","A Superior"
358686,"Sin Registro","0","Sin Especialidad","no existe","no existe"
354970,"Contratista O. Menores","14 O.M.","Montaje de Equipos Eléctricos","B","B"
359691,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
364128,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
363163,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","B","B"
330580,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
330580,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
365396,"Contratista O. Menores","8 O.M.","Instalación de Agua Potable y Alcantarillado","B","B"
365396,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","B","B"
355997,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3","Tercera"
363659,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
363659,"Contratista O. Menores","3 O.M.","Bases y Sub-Bases","A a S","A Superior"
365932,"Sin Registro","0","Sin Especialidad","no existe","no existe"
365806,"Consultor","4.3.","Obras Hidraulicas y de Riego","1era","Primera"
365806,"Consultor","4.5.","Obras Fluviales","1era","Primera"
345943,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
351836,"Consultor","1.1.","General (Desarrollo Multidisciplinario)","1era","Primera"
351836,"Consultor","1.3.","De Sistemas de Transporte","1era","Primera"
351836,"Consultor","4.9.","Obras Viales (Urbanas y Rurales)","1a S","Primera Superior"
359928,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
359928,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
370032,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3","Tercera"
370032,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
366487,"Contratista O. Mayores","17 O.C.","Señalización Vertical de Seguridad Vial","3","Tercera"
366487,"Contratista O. Mayores","18 O.C.","Señalización Horizontal de Seguridad Vial","3","Tercera"
370806,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
370807,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
377445,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
377445,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
380965,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
380965,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
381188,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era A","Tercera A"
378330,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
378330,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","2da","Segunda"
382163,"Contratista O. Menores","18 O.M.","Seguridad Vial","B","B"
323496,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
324210,"Sin Registro","0","Sin Especialidad","no existe","no existe"
325367,"Otro Registro","0","Sin Especialidad","no existe","no existe"
314131,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","B","B"
327718,"Contratista O. Mayores","13 O.C.","Obras de Defensas Fluviales","3era B","Tercera B"
326951,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
325421,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A a S","A Superior"
331305,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","2da","Segunda"
331305,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
331305,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
328887,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A a S","A Superior"
339453,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","A","A"
339778,"Sin Registro","0","Sin Especialidad","no existe","no existe"
337180,"Contratista O. Mayores","18 O.C.","Señalización Horizontal de Seguridad Vial","3era A","Tercera A"
340794,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
340794,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
340172,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
339355,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","B","B"
341770,"Sin Registro","0","Sin Especialidad","no existe","no existe"
342726,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","B","B"
343244,"Contratista O. Mayores","14 O.C.","Revestimiento de Canales","3era A","Tercera A"
344276,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
347204,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A","A"
349435,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A","A"
346140,"Contratista O. Mayores","14 O.C.","Revestimiento de Canales","2da","Segunda"
346195,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
346195,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
346195,"Contratista O. Mayores","18 O.C.","Señalización Horizontal de Seguridad Vial","3","Tercera"
345964,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
346153,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
338427,"Contratista O. Menores","11 O.M.","Obras Bajo Agua","A a S","A Superior"
349655,"Contratista O. Mayores","13 O.C.","Obras de Defensas Fluviales","3era A","Tercera A"
349971,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
349659,"Contratista O. Mayores","13 O.C.","Obras de Defensas Fluviales","3era B","Tercera B"
354107,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
354107,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
359439,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
349971,"Contratista O. Mayores","13 O.C.","Obras de Defensas Fluviales","2da","Segunda"
