"EJE_DESCRIPCION","SERVICIO","PROYECTO","CODIGOBIP","ETAPAPROYECTO","FINANCIAMIENTO","NOMBREPROYECTO","REGIONGEOGRAFICA","FECHA_INICIO","FECHA_TERMINO","MONTO_VIGENTE_P","PROVINCIAS","COMUNAS"
"Competitividad / Conectividad","Dirección de Aeropuertos",52256,"40033968-0","TERMINADO","Sectorial","CONSERVACION MAYOR AERODROMO CHAMONATE 2021 2022 PLAN DE RECUPERACION","Atacama",01/01/21,23/04/22,1373802,"COPIAPO","COPIAPO"
"Competitividad / Conectividad","Dirección de Aeropuertos",52255,"40033965-0","TERMINADO","Sectorial","CONSERVACION MAYOR ETAPA 1 AERÓDROMO CHAÑARAL, PLAN DE RECUPERACION ","Atacama",01/01/21,27/05/22,1140674,"CHAÑARAL","CHAÑARAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52253,"40031343-0","TERMINADO","Sectorial","MEJORAMIENTO AGUA POTABLE SERVICIO SANITARIO RURAL PATAGUA ORILLA,PICHIDEGUA ","Libertador General Bernardo O'Higgins",18/06/22,08/02/24,3113815,"CACHAPOAL","PICHIDEGUA"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",52227,"40025410-0","TERMINADO","Sectorial","CONSTRUCCION INFRAESTRUCTURA TURÍSTICA LAGO RANCO COMUNA DE LAGO RANCO","Los Ríos",07/11/22,28/02/24,5163489,"RANCO","LAGO RANCO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52213,"40033196-0","TERMINADO","Sectorial","CONSERVACION SISTEMA SANITARIO RURAL UNIHUE, COMUNA DE HUALQUI","Biobío",19/10/21,17/04/22,269467,"CONCEPCION","HUALQUI"
"Seguridad hídrica","Dirección de Obras Hidráulicas",52212,"40033732-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE RIEGO TRANQUE CHINCOLCO, COMUNA DE PETORCA, REGIÓN DE VALPO - RECUP","Valparaíso",30/12/21,29/05/22,1009722,"PETORCA","PETORCA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52205,"40031786-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR DE PUNAHUE, PANGUIPULLI","Los Ríos",09/10/21,31/07/23,1501370,"VALDIVIA","PANGUIPULLI"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52192,"40019119-0","TERMINADO","Sectorial","CONSTRUCCION SISTEMA DE AGUA POTABLE RURAL RÍO CHICO, COMUNA DE PUERTO MONTT","Los Lagos",23/12/21,08/12/22,927183,"LLANQUIHUE","PUERTO MONTT"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52187,"40033090-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE AGUA POTABLE RURAL DE TOCONAO II ETAPA 2021-2022","Antofagasta",30/09/21,19/02/22,427448,"EL LOA","SAN PEDRO DE ATACAMA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52186,"40033087-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE AGUA POTABLE RURAL FLOR DEL ALFALFA, CALAMA RURAL 2021-2022","Antofagasta",08/04/22,06/08/22,250901,"EL LOA","CALAMA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52185,"40033081-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE AGUA POTABLE RURAL DE CHUNCHURI II ETAPA 2021-2022","Antofagasta",11/04/22,09/08/22,249970,"EL LOA","CALAMA"
"Competitividad / Conectividad","Dirección de Vialidad",52181,"40031630-0","PREFACTIBILIDAD","Sectorial","AMPLIACION AV. CIRCUNVALACION RIO CLARO TALCA","Maule",01/01/22,30/12/32,15256108,"TALCA","TALCA"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",52169,"40033267-0","TERMINADO","Sectorial","CONSERVACION ANTENAS DE COMUNICACIONES DE EMERGENCIA - ETAPA 2","Interregional",17/11/22,15/07/23,168575,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Aeropuertos",52160,"40033054-0","TERMINADO","Sectorial","CONSERVACION GLOBAL LLANQUIHUE 2021-2022, PLAN RECUPERACIÓN","Los Lagos",04/09/21,08/12/22,2160180,"LLANQUIHUE","PUERTO MONTT, CALBUCO, COCHAMO, FRESIA, FRUTILLAR, LOS MUERMOS, LLANQUIHUE, MAULLIN, PUERTO VARAS"
"Competitividad / Conectividad","Dirección de Aeropuertos",52159,"40033052-0","TERMINADO","Sectorial","CONSERVACION GLOBAL PALENA 2021-2022, PLAN RECUPERACIÓN","Los Lagos",02/09/21,08/12/22,2738568,"PALENA","CHAITEN, FUTALEUFU, HUALAIHUE, PALENA"
"Competitividad / Conectividad","Dirección de Aeropuertos",52158,"40033048-0","TERMINADO","Sectorial","CONSERVACION GLOBAL CHILOÉ 2021-2022, PLAN RECUPERACIÓN.","Los Lagos",09/09/21,16/02/23,2942528,"CHILOE","CASTRO, ANCUD, CHONCHI, CURACO DE VELEZ, DALCAHUE, PUQUELDON, QUEILEN, QUELLON, QUEMCHI, QUINCHAO"
"Competitividad / Conectividad","Dirección de Aeropuertos",52157,"40033023-0","TERMINADO","Sectorial","CONSERVACION RUTINARIA AEROPUERTO EL TEPUAL 2021-2022, PLAN RECUPERACION.","Los Lagos",01/01/21,23/08/22,1102430,"LLANQUIHUE","PUERTO MONTT"
"Competitividad / Conectividad","Dirección de Aeropuertos",52156,"40033035-0","TERMINADO","Sectorial","CONSERVACION MAYOR AERODROMO TTE. VIDAL ETAPA III - PLAN DE RECUPERACION","Aysén del General Carlos Ibáñez del Campo",01/01/21,06/12/22,1624506,"COIHAIQUE, AYSEN, CAPITAN PRAT, GENERAL CARRERA","COIHAIQUE, LAGO VERDE, AYSEN, CISNES, GUAITECAS, COCHRANE, O'HIGGINS, TORTEL, CHILE CHICO, RIO IBAÑEZ"
"Competitividad / Conectividad","Dirección de Aeropuertos",52155,"40033264-0","TERMINADO","Sectorial","CONSERVACION MAYOR ÁREA MOVIMIENTO AP ANDRÉS SABELLA, ANTOFAGASTA, PLAN DE RECUPERACION","Antofagasta",01/01/21,20/08/22,2791276,"ANTOFAGASTA","ANTOFAGASTA"
"Competitividad / Conectividad","Dirección de Aeropuertos",52154,"40020100-0","TERMINADO","Sectorial","CONSERVACION RUTINARIA PEQUEÑOS AERODROMOS REGION DE AYSEN - PLAN DE RECUPERACION","Aysén del General Carlos Ibáñez del Campo",01/01/21,09/11/23,2350613,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Aeropuertos",52151,"40033041-0","TERMINADO","Sectorial","CONSERVACION PEQUEÑOS AERODROMOS REGION DE COQUIMBO 2021-2022, PLAN DE RECUPERACIÓN","Coquimbo",01/01/21,07/07/22,1605886,"CHOAPA, LIMARI","LOS VILOS, COMBARBALA"
"Competitividad / Conectividad","Dirección de Aeropuertos",52150,"30485530-0","TERMINADO","Sectorial","CONSERVACION REFUGIO DE PASAJEROS F. BIANCO, CERRO SOMBRERO, PRIMAVERA (PLAN DE RECUPERACIÓN)","Magallanes y de la Antártica Chilena",01/01/21,05/10/22,726863,"TIERRA DEL FUEGO","PRIMAVERA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",52142,"40026218-0","EN EJECUCION","Sectorial","DIAGNOSTICO PLAN MAESTRO EVACUACIÓN Y DRENAJE DE AGUAS LLUVIAS PARRAL, R. DEL MAULE","Maule",01/01/22,14/04/26,472256,"LINARES","PARRAL"
"Seguridad hídrica","Dirección de Obras Hidráulicas",52127,"40033162-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE RIEGO LAS PATAGUAS, COMUNA DE COIHUECO, REGIÓN DE ÑUBLE - RECUP.","Ñuble",01/01/21,30/05/22,661659,"PUNILLA","COIHUECO"
"Competitividad / Conectividad","Dirección de Aeropuertos",52088,"40033073-0","TERMINADO","Sectorial","CONSERVACION PLANTA AGUA POTABLE AERÓDROMO PICHOY-PLAN RECUPERACIÓN","Los Ríos",16/09/21,19/02/22,719732,"VALDIVIA","MARIQUINA"
"Competitividad / Conectividad","Dirección de Aeropuertos",52084,"40032982-0","TERMINADO","Sectorial","CONSERVACION PLATAFORMA AEROMÉDICA AERÓDROMO LAS MARÍAS-PLAN RECUPERACIÓN","Los Ríos",17/09/21,12/04/22,1642973,"VALDIVIA","VALDIVIA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52025,"40030283-0","TERMINADO","Sectorial","CONSERVACION SISTEMA APR CERRO NEGRO, REGION DE AYSEN","Aysén del General Carlos Ibáñez del Campo",30/10/21,28/04/22,70876,"COIHAIQUE","COIHAIQUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52024,"40030284-0","TERMINADO","Sectorial","CONSERVACION SISTEMA APR LOS TORREONES, REGION DE AYSEN","Aysén del General Carlos Ibáñez del Campo",30/10/21,28/04/22,114476,"AYSEN","AYSEN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52023,"40030281-0","TERMINADO","Sectorial","CONSERVACION SISTEMA APR RIO CLARO, REGION DE AYSEN","Aysén del General Carlos Ibáñez del Campo",30/10/21,28/04/22,243484,"COIHAIQUE","COIHAIQUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52022,"40030238-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE AGUA POTABLE RURAL PUNTA CARRERA, COMUNA PUNTA ARENAS, 2021","Magallanes y de la Antártica Chilena",28/10/21,25/02/22,31068,"MAGALLANES","PUNTA ARENAS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52021,"40030286-0","TERMINADO","Sectorial","CONSERVACION SISTEMA APR EL SALTO AYSEN, REGION DE AYSEN","Aysén del General Carlos Ibáñez del Campo",30/10/21,28/04/22,39294,"AYSEN","AYSEN"
"Competitividad / Conectividad","Dirección de Aeropuertos",52019,"40031234-0","TERMINADO","Sectorial","CONSERVACION AREA DE MOV.  AD. LOS MAITENES DE VILLA VIEJA, DE LA UNIÓN- PLAN DE RECUPERACIÓN","Los Ríos",01/01/21,08/03/22,617848,"RANCO","LA UNION"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52017,"40029744-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO DE APR DE ILIHUE-LOS MAÑÍOS, LAGO RANCO","Los Ríos",13/11/21,04/09/23,3006338,"RANCO","LAGO RANCO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52016,"40029728-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO DE APR DE SECTORES UNIDOS, LA UNIÓN","Los Ríos",27/08/22,02/07/24,1958422,"RANCO","LA UNION"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52015,"40029785-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO DE APR DE MINAS DE PUNAHUE, LOS LAGOS","Los Ríos",24/09/21,16/01/23,1713541,"VALDIVIA","LOS LAGOS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",52012,"40027798-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO DE APR DE BONIFACIO, VALDIVIA","Los Ríos",17/11/21,08/09/23,1532839,"VALDIVIA","VALDIVIA"
"Competitividad / Conectividad","Dirección de Vialidad",51983,"40032572-0","EN EJECUCION","Sectorial","DIAGNOSTICO SEG VIAL VARIAS RUTAS  DE LAS REG TARAPACA, ANTOFAGASTA Y ATACAMA. ","Interregional",19/02/24,24/04/25,481000,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",51966,"40031349-0","TERMINADO","Sectorial","CONSERVACION OBRAS PORTUARIAS MENORES PLAN RECUPERACION ECONOMICA MAULE","Maule",09/06/22,07/10/22,111763,"TALCA","CONSTITUCION"
"Competitividad / Conectividad","Dirección de Vialidad",51912,"40019625-0","TERMINADO","Extrasectorial","CONSERVACION RUTA N-884, CRUCE RUTA 5 (SANTA CLARA) -PUENTE PAL PAL- BALSA CERRO NEGRO","Ñuble",10/11/21,08/07/22,852723,"DIGUILLÍN","BULNES"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51891,"40031165-0","EN EJECUCION","Sectorial","REPOSICION SERVICIO SANITARIO RURAL RIO TRANQUILO, COMUNA RÍO IBAÑEZ ","Aysén del General Carlos Ibáñez del Campo",05/10/23,07/04/26,6898244,"GENERAL CARRERA","RIO IBAÑEZ"
"Competitividad / Conectividad","Dirección de Vialidad",51888,"40027667-0","TERMINADO","Sectorial","ANALISIS ESTRUCTURAL DE CAMINOS PAVIMENTADOS SISTEMA ALTO RENDIMIENTO - ETAPA III","Interregional",01/01/21,25/09/23,237102,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51875,"40031223-0","TERMINADO","Sectorial","CONSTRUCCION SISTEMA APR ENTRE PUENTES, RAUCO","Maule",22/09/23,19/05/24,609206,"CURICO","RAUCO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51873,"40023489-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACION SISTEMA APR CATILLO, PARRAL","Maule",01/07/22,23/11/23,921754,"LINARES","PARRAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51872,"40027258-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACIÓN SISTEMA APR EL PLUMERO, RAUCO","Maule",26/10/21,23/07/22,1155000,"TALCA","PENCAHUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51871,"40030981-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACIÓN SISTEMA APR LA SEXTA-SAN JOSÉ-ESPERANZA PLAN, LONGAVÍ","Maule",04/07/22,27/09/23,3858695,"LINARES","LONGAVI"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",51866,"40031595-0","EN EJECUCION","Sectorial","CONSERVACION PUNTO DE POSADA LOS ÁLAMOS ","Biobío",30/04/24,27/09/24,752493,"ARAUCO","LOS ALAMOS"
"Competitividad / Conectividad","Dirección de Vialidad",51860,"40031619-0","EN EJECUCION","Sectorial","CONSERVACION SEGURIDAD VIAL EN REGION LOS LAGOS (PLAN DE RECUPERACIÓN)","Los Lagos",14/09/21,01/12/24,3937689,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",51859,"40031617-0","EN EJECUCION","Sectorial","CONSERVACION CAMINOS PLAN INDIGENA REGION DEL BIOBIO 2021 (PLAN DE RECUPERACIÓN)","Biobío",01/01/21,01/12/24,7821599,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",51852,"40026201-0","EN EJECUCION","Sectorial","DIAGNOSTICO PLAN MAESTRO RÍO ELICURA Y AFLUENTES, COMUNA DE CONTULMO, REGIÓN BIO BÍO","Biobío",01/01/21,01/12/24,325095,"ARAUCO","CONTULMO"
"Competitividad / Conectividad","Dirección de Aeropuertos",51818,"40031330-0","TERMINADO","Sectorial","CONSERVACION RUTINARIA AERÓDROMO PICHOY, COMUNA DE SAN JOSÉ DE LA MARIQUINA","Los Ríos",01/01/22,29/12/22,2049107,"VALDIVIA","MARIQUINA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51815,"40028460-0","EN EJECUCION","Sectorial","CONSTRUCCION SISTEMA SSR PAMPA SAN MARTIN, COMUNA DE ARICA","Arica y Parinacota",20/10/22,13/09/24,1853183,"ARICA","ARICA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51810,"40028448-0","EN EJECUCION","Sectorial","CONSTRUCCION SISTEMA SSR PAGO GÓMEZ NORTE, COMUNA DE ARICA","Arica y Parinacota",30/10/23,08/01/25,3268048,"ARICA","ARICA"
"Competitividad / Conectividad","Dirección de Vialidad",51803,"40028665-0","TERMINADO","Sectorial","CONSERVACION PASADAS URBANAS REGIÓN DE ÑUBLE GLOSA 7","Ñuble",28/05/21,10/03/22,115734,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",51802,"40031347-0","TERMINADO","Sectorial","CONSERVACION OBRAS PORTUARIAS MENORES PLAN RECUPERACION ECONOMICA BIOBIO","Biobío",21/10/21,20/12/22,1801883,"CONCEPCION, ARAUCO","LOTA, PENCO, TALCAHUANO, TOME, ARAUCO"
"Competitividad / Conectividad","Dirección de Vialidad",51799,"40029507-0","TERMINADO","Sectorial","CONSERVACION DE SEGURIDAD VIAL EN ZONAS DE ESCUELA 2020","Interregional",01/01/21,24/11/22,10925410,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",51793,"40016742-0","TERMINADO","Extrasectorial","CONSTRUCCION MUELLE CANOTAJE  CONSTITUCION, RIO MAULE CONSTITUCION","Maule",10/11/21,11/05/22,212196,"TALCA","CONSTITUCION"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51791,"40028428-0","EN EJECUCION","Sectorial","MEJORAMIENTO INTEGRAL SISTEMA SSR LAS MAITAS, COMUNA DE ARICA","Arica y Parinacota",05/10/22,14/09/24,6788714,"ARICA","ARICA"
"Competitividad / Conectividad","Dirección de Vialidad",51782,"40031344-0","PREFACTIBILIDAD","Sectorial","MEJORAMIENTO INTERCONEXIÓN AV. PICARTE - LAS ÁNIMAS - PUENTE CALLE CALLE, VALDIVIA","Los Ríos",01/01/23,30/07/25,486046,"VALDIVIA","VALDIVIA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",51744,"40031139-0","EN EJECUCION","Sectorial","DIAGNOSTICO PLAN MAESTRO DE AGUAS LLUVIAS BUIN Y PAINE, PROV DEL MAIPO, R.M.","Metropolitana de Santiago",30/12/23,18/01/25,1110470,"MAIPO","BUIN, PAINE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51743,"40022764-0","EN EJECUCION","Sectorial","REPOSICION SISTEMA DE SERVICIO SANITARIO RURAL MIQUILJAWA, COMUNA DE COLCHANE","Tarapacá",20/02/24,02/08/25,6377183,"TAMARUGAL","COLCHANE"
"Competitividad / Conectividad","Dirección de Aeropuertos",51735,"40031105-0","TERMINADO","Sectorial","CONSERVACION MAYOR CALLE DE RODAJE BRAVO AEROPUERTO DIEGO ARACENA","Tarapacá",01/01/21,25/04/23,5758995,"IQUIQUE","IQUIQUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51708,"40027634-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACION DEL SERVICO DE APR CHOROMBO, COMUNA DE MARIA PINTO ","Metropolitana de Santiago",04/04/22,30/11/23,4254383,"MELIPILLA","MARIA PINTO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51707,"40029230-0","EN EJECUCION","Sectorial","MEJORAMIENTO DEL SERVICIO APR MIRAFLORES, COMUNA CURACAVI","Metropolitana de Santiago",03/05/23,24/10/24,5697161,"MELIPILLA","MELIPILLA"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",51701,"40031083-0","EN EJECUCION","Sectorial","DIAGNOSTICO ACTUALIZACION INVENTARIO PATRIMONIO CULTURAL INMUEBLE REGION LOS LAGOS","Los Lagos",01/01/21,27/02/26,641892,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",51672,"40025408-0","TERMINADO","Sectorial","CONSTRUCCION BORDE LACUSTRE HUEQUECURA, COMUNA DE FUTRONO","Los Ríos",01/01/21,01/09/22,1670868,"RANCO","FUTRONO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51667,"40021869-0","EN EJECUCION","Sectorial","AMPLIACION SISTEMA DE APR LA COLONIA  HACIA EL SECTOR SOLOYO, LAUTARO ","La Araucanía",16/03/23,22/12/24,433337,"CAUTIN","LAUTARO"
"Competitividad / Conectividad","Dirección de Aeropuertos",51664,"40030148-0","TERMINADO","Sectorial","NORMALIZACION ÁREA DE MOVIMIENTO AERÓDROMO LOS CONFINES DE ANGOL","La Araucanía",01/01/21,14/07/24,3653088,"MALLECO","ANGOL"
"Competitividad / Conectividad","Dirección de Aeropuertos",51662,"40030685-0","TERMINADO","Sectorial","CONSERVACION AERÓDROMO PUERTO SUR DE ISLA SANTA MARÍA, REGIÓN DEL BIOBÍO","Biobío",01/01/21,29/12/22,579869,"CONCEPCION","CORONEL"
"Competitividad / Conectividad","Dirección de Aeropuertos",51661,"40030715-0","TERMINADO","Sectorial","CONSERVACION RUTINARIA AEROPUERTO CARRIEL SUR, REGIÓN DEL BIOBÍO","Biobío",01/08/22,29/12/22,673080,"CONCEPCION","TALCAHUANO"
"Competitividad / Conectividad","Dirección de Aeropuertos",51657,"40030985-0","TERMINADO","Sectorial","CONSERVACION MAYOR AREA DE MOVIMIENTO AERODROMO DE CALDERA","Atacama",01/01/22,30/12/22,2027528,"COPIAPO","CALDERA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",51656,"40031611-0","TERMINADO","Sectorial","CONSERVACION RED PRIMARIA DE AGUAS LLUVIAS ATACAMA 2022-2024","Atacama",01/01/22,18/12/22,301695,"COPIAPO, HUASCO","COPIAPO, VALLENAR"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",51655,"40031615-0","TERMINADO","Sectorial","CONSERVACION DE RIBERAS Y CAUCES NATURALES (OBRAS FLUVIALES) 2022 - 2024 ATACAMA","Atacama",01/01/22,18/05/23,2094396,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",51652,"40030961-0","FACTIBILIDAD","Sectorial","MEJORAMIENTO PLAYA DE HUAYQUIQUE (OBRAS MARITIMAS)","Tarapacá",01/01/22,30/12/26,587866,"IQUIQUE","IQUIQUE"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",51649,"30122047-0","EN EJECUCION","Sectorial","DIAGNOSTICO PLAN MAESTRO AGUAS LLUVIAS QUELLON","Los Lagos",01/01/21,03/06/25,426459,"CHILOE","QUELLON"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",51635,"30450772-0","EN EJECUCION","Sectorial","DIAGNOSTICO PLAN MAESTRO DE AGUAS LLUVIAS, CIUDAD DE LOS LAGOS","Los Ríos",25/08/21,01/12/24,338292,"VALDIVIA","LOS LAGOS"
"Competitividad / Conectividad","Dirección de Aeropuertos",51629,"40030838-0","TERMINADO","Sectorial","CONSERVACION PEQUEÑOS AERÓDROMOS REGIÓN DE ANTOFAGASTA","Antofagasta",01/01/22,16/12/22,563444,"ANTOFAGASTA, EL LOA, TOCOPILLA","ANTOFAGASTA, MEJILLONES, SIERRA GORDA, TALTAL, CALAMA, OLLAGUE, SAN PEDRO DE ATACAMA, TOCOPILLA, MARIA ELENA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51626,"40030584-0","TERMINADO","Sectorial","CONSERVACION SSR CAMARONES COMUNA DE VALLENAR ATACAMA 2022","Atacama",16/11/22,15/04/23,160087,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",51605,"40030332-0","TERMINADO","Sectorial","CONSERVACION INFRAESTRUCTURA  PORTUARIAS Y OBRAS MENORES TARAPACA","Tarapacá",30/06/22,18/01/23,545404,"IQUIQUE","IQUIQUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51592,"40029545-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA AGUA POTABLE RURAL DOMEYKO, VALLENAR","Atacama",06/09/22,22/01/24,3103811,"HUASCO","VALLENAR"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",51541,"40030439-0","EN EJECUCION","Sectorial","CONSERVACION RESIDENCIA PRESIDENCIAL VIÑA DEL MAR TRIENAL 2022-2024","Valparaíso",01/01/22,30/12/24,662609,"VALPARAISO","VIÑA DEL MAR"
"Seguridad hídrica","Dirección de Obras Hidráulicas",51523,"40030495-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE RIEGO CANAL SANTA ELENA, REGIÓN DE LA ARAUCANÍA","La Araucanía",06/12/21,26/03/22,170760,"MALLECO","ANGOL"
"Seguridad hídrica","Dirección de Obras Hidráulicas",51521,"40030493-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE RIEGO CANAL PILÉN CHICO, REGIÓN DE LA ARAUCANÍA","La Araucanía",14/10/21,08/03/22,138054,"MALLECO","VICTORIA"
"Seguridad hídrica","Dirección de Obras Hidráulicas",51520,"40030492-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE RIEGO CANAL LOS PRADOS, REGIÓN DE LA ARAUCANÍA","La Araucanía",06/12/21,14/02/22,184466,"MALLECO","CURACAUTIN"
"Competitividad / Conectividad","Dirección de Vialidad",51507,"40030657-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL REGION DE O'HIGGINS 2022-2026","Libertador General Bernardo O'Higgins",01/01/22,29/10/28,126625848,"CACHAPOAL, CARDENAL CARO, COLCHAGUA","RANCAGUA, CODEGUA, COINCO, COLTAUCO, DOÑIHUE, GRANEROS, LAS CABRAS, MACHALI, MALLOA, MOSTAZAL, OLIVAR, PEUMO, PICHIDEGUA, QUINTA DE TILCOCO, RENGO, REQUINOA, SAN VICENTE, PICHILEMU, LA ESTRELLA, LITUECHE, MARCHIHUE, NAVIDAD, PAREDONES, SAN FERNANDO, CHEPICA, CHIMBARONGO, LOLOL, NANCAGUA, PALMILLA, PERALILLO, PLACILLA, PUMANQUE, SANTA CRUZ"
"Competitividad / Conectividad","Dirección de Vialidad",51506,"40030654-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL REGION DE VALPARAISO 2022-2026.","Valparaíso",01/01/22,09/12/27,52449837,"VALPARAISO, ISLA DE PASCUA, LOS ANDES, PETORCA, QUILLOTA, SAN ANTONIO, SAN FELIPE, MARGA MARGA","VALPARAISO, CASABLANCA, CONCON, JUAN FERNANDEZ, PUCHUNCAVI, QUILPUE, QUINTERO, VILLA ALEMANA, VIÑA DEL MAR, ISLA DE PASCUA, LOS ANDES, CALLE LARGA, RINCONADA, SAN ESTEBAN, LA LIGUA, CABILDO, PAPUDO, PETORCA, ZAPALLAR, QUILLOTA, CALERA, HIJUELAS, LA CRUZ, NOGALES, OLMUE, SAN ANTONIO, ALGARROBO, CARTAGENA, EL QUISCO, EL TABO, SANTO DOMINGO, SAN FELIPE, CATEMU, LLAILLAY, PANQUEHUE, PUTAENDO, SANTA MARIA, QUILPUE, LIMACHE, OLMUE, VILLA ALEMANA"
