"EJE_DESCRIPCION","SERVICIO","PROYECTO","CODIGOBIP","ETAPAPROYECTO","FINANCIAMIENTO","NOMBREPROYECTO","REGIONGEOGRAFICA","FECHA_INICIO","FECHA_TERMINO","MONTO_VIGENTE_P","PROVINCIAS","COMUNAS"
"Competitividad / Conectividad","Dirección de Vialidad",45871,"30447885-0","TERMINADO","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL II REGIÓN 2017-2021","Antofagasta",01/01/17,28/12/21,16290066,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45870,"30447930-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL I REGIÓN 2017-2021","Tarapacá",01/01/18,01/12/24,12425806,"IQUIQUE, TAMARUGAL","IQUIQUE, ALTO HOSPICIO, POZO ALMONTE, CAMIÑA, COLCHANE, HUARA, PICA"
"Competitividad / Conectividad","Dirección de Vialidad",45868,"30447935-0","TERMINADO","Sectorial","CONSERVACION GLOBAL RED VIAL REGION DE VALPARAISO 2017-2019","Valparaíso",01/01/17,03/08/20,4884961,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45866,"30447888-0","TERMINADO","Sectorial","CONSERVACION CAMINOS PLAN INDIGENA 2017 REGION DE LOS RIOS","Los Ríos",01/01/17,27/08/21,6496662,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45860,"30463801-0","TERMINADO","Mixto","MEJORAMIENTO CBI LOS GALPONES QUINQUE COMUY, COM PITRUFQUEN","La Araucanía",10/04/19,01/10/20,1927600,"CAUTIN","PITRUFQUEN"
"Competitividad / Conectividad","Dirección de Vialidad",45859,"30458988-0","EN EJECUCION","Sectorial","MEJORAMIENTO CBI MAQUEHUE BOROA- PUENTE RAGNINTULEUFU, P. LAS CASAS","La Araucanía",01/01/18,01/12/24,8981220,"CAUTIN","NUEVA IMPERIAL, PADRE LAS CASAS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45858,"30376224-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO DE AGUA POTABLE RURAL SELVA NEGRA, SAN IGNACIO","Ñuble",03/04/17,20/10/17,686563,"DIGUILLÍN","SAN IGNACIO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45857,"30181074-0","TERMINADO","Sectorial","CONSTRUCCION APR HUELLANTO Y 6° FAJA DE GORBEA Y MANHUE DE LONCOCHE","La Araucanía",17/05/17,09/10/18,3152832,"CAUTIN","LONCOCHE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45856,"30399827-0","TERMINADO","Sectorial","AMPLIACION SISTEMA AGUA POTABLE MELIPEUCO A SAHUELHUE, MELIPEUCO","La Araucanía",02/03/17,31/12/18,3791855,"CAUTIN","MELIPEUCO"
"Competitividad / Conectividad","Dirección de Vialidad",45855,"30458879-0","EN EJECUCION","Sectorial","REPOSICION PUENTES LINICH Y SOCO, VILLA BOLDOS-TOLTEN","La Araucanía",01/01/17,01/12/24,1331418,"CAUTIN","TOLTEN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45854,"30410072-0","TERMINADO","Sectorial","CONSTRUCCION SISTEMA AGUA POTABLE MAHUIDACHE Y MILLELCHE, FREIRE","La Araucanía",09/11/16,02/03/19,3540731,"CAUTIN","FREIRE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45853,"30425022-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO AGUA POTABLE RURAL CONTUY, COMUNA DE QUEILEN","Los Lagos",18/05/16,24/11/17,494783,"CHILOE","QUEILEN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45851,"30415723-0","TERMINADO","Sectorial","CONSTRUCCION SISTEMA DE AGUA POTABLE RURAL COYHAIQUE BAJO","Aysén del General Carlos Ibáñez del Campo",14/12/16,01/01/18,1507745,"COIHAIQUE","COIHAIQUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45847,"30414228-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR DE PURINGUE RICO, MARIQUINA","Los Ríos",26/08/16,14/08/17,1027282,"VALDIVIA","MARIQUINA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45845,"30416575-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR DE LOS TAYOS ALTOS, PANGUIPULLI","Los Ríos",26/08/16,09/08/17,1513164,"VALDIVIA","PANGUIPULLI"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45844,"30402522-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA AGUA POTABLE RURAL DE PUTRE, COMUNA DE PUTRE","Arica y Parinacota",05/11/16,30/12/17,1797015,"PARINACOTA","PUTRE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45841,"30337137-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO A.P.R. EL ALMENDRAL-LOS AMARILLOS, CHEPICA","Libertador General Bernardo O'Higgins",03/11/16,07/10/19,1647761,"CACHAPOAL","RENGO"
